2495,9415,6.72,7,690,278,8,2,1157,good
2569,9333,6.66,7,626,292,12,3,1222,good
2400,8215,5.87,1,761,222,21,3,996,good
2136,6389,4.56,3,828,155,5,4,683,good
2389,7701,5.5,17,656,222,18,10,991,good
2520,9805,7,2,629,300,5,3,1197,fair
2995,14924,10.71,3,539,379,23,18,1761,poor
3440,12565,8.97,3,586,360,74,38,2206,good
2289,6261,4.47,2,824,180,10,5,797,good
2528,9320,6.65,1,766,229,15,19,1116,fair
2406,7990,5.7,1,803,212,11,21,1002,good
2731,9981,7.13,1,732,275,14,26,1377,good
2645,9337,6.67,0,638,352,6,7,1346,fair
2792,12230,8.73,2,549,355,33,11,1551,poor
2761,11427,8.57,1,638,248,20,36,1417,fair
2863,13235,9.45,7,631,372,12,11,1601,good
2595,10405,7.5,4,743,231,15,20,1171,good
2795,12626,9.01,2,622,317,30,19,1514,fair
2882,13024,9.3,11,532,355,24,23,1645,poor
3064,11098,7.92,0,521,320,47,32,1777,poor
2833,12764,9.11,9,484,398,10,3,1592,good
2885,14394,10.39,1,636,318,31,27,1627,good
2863,14491,10.35,12,646,342,4,23,1610,poor
2728,12202,8.71,4,683,299,24,15,1425,good
2666,11766,8.4,3,704,286,32,7,1352,good
2880,11462,8.18,4,989,422,11,8,1662,fair
2960,14983,10.7,9,447,418,13,7,1763,fair
2736,11586,8.33,3,685,251,18,30,1371,fair
2692,10760,7.68,2,714,267,28,13,1301,fair
2435,8719,6.23,2,579,314,0,0,1126,fair
2645,10599,7.63,5,570,325,4,9,1306,poor
2789,11430,8.29,10,565,310,8,5,1355,fair
2283,7378,5.27,1,1160,248,4,2,905,good
2555,11584,8.33,6,617,296,5,5,1233,good
2473,10090,7.26,4,594,290,0,0,1143,poor
2022,3830,2.73,3,1278,152,5,5,553,poor
2082,3747,2.68,0,1212,213,0,0,674,good
2071,4421,3.16,10,735,162,1,7,596,good
2377,7763,5.54,7,688,224,5,9,957,good
2694,11009,8.72,2,720,198,21,37,1296,good
2485,7943,5.67,11,693,201,21,27,1103,good
2402,6868,4.9,1,640,289,0,0,1038,good
2668,9078,6.48,2,557,346,15,6,1365,good
2717,10902,7.78,10,588,305,8,16,1368,good
2521,8584,6.13,9,622,272,6,26,1169,fair
2500,9199,6.57,3,654,250,18,19,1150,good
2668,11003,7.96,12,640,280,19,18,1316,fair
2594,9995,7.19,6,696,228,16,31,1234,poor
2639,9559,7.95,6,522,239,12,29,1265,good
2559,10618,8.38,6,564,230,13,28,1199,good
2499,8635,6.17,19,704,238,16,20,1100,fair
2492,9155,6.54,2,715,252,9,15,1114,fair
2699,11150,7.96,16,590,306,13,19,1369,good
2733,11625,9.2,3,691,245,23,38,1393,fair
2655,10544,7.53,12,605,273,24,12,1303,fair
2591,10022,7.16,3,585,346,0,0,1301,good
2289,7638,5.45,9,666,240,0,0,911,good
2495,9415,6.72,7,690,278,8,2,1157,good
2418,7440,5.31,4,698,237,11,17,1045,good
2926,15675,11.35,21,1264,29,0,0,106,good
2698,13315,9.51,10,671,346,10,0,1419,good
2758,11369,8.12,17,784,261,42,23,1451,good
2437,9015,6.44,5,675,252,6,5,1053,good
2856,14021,10.01,6,785,316,25,13,1563,good
2522,9815,7.01,5,670,295,8,8,1208,good
2527,7238,5.17,6,662,291,0,0,1093,good
2433,8195,5.85,2,671,286,0,0,1070,good
2585,9233,6.77,0,669,256,17,13,1235,good
2649,10993,8.24,4,620,298,8,10,1333,good
2600,11629,8.37,15,617,323,6,4,1309,poor
2752,12458,8.9,2,559,354,0,0,1469,good
2603,10935,7.87,5,602,337,0,0,1316,fair
2402,7526,5.37,1,623,282,0,0,1028,poor
2598,10507,8.34,9,623,257,4,19,1239,good
2664,11306,8.53,15,587,303,9,10,1348,good
2901,13181,10.24,3,623,290,15,27,1573,good
2661,9480,6.99,3,664,238,15,29,1283,fair
2691,11916,8.51,1,572,287,20,30,1400,good
2870,14733,10.52,4,508,377,18,21,1670,good
2874,14671,10.48,9,504,414,3,7,1649,good
2484,9677,6.91,4,614,323,0,0,1188,good
2702,11060,7.9,9,627,292,14,28,1410,good
2532,9897,7.07,5,653,239,15,24,1184,good
2594,10390,7.42,9,656,235,31,19,1210,good
2615,10917,7.79,3,660,264,21,20,1277,good
2266,7632,5.44,2,712,241,0,0,905,good
2435,8719,6.23,2,579,314,0,0,1126,fair
2460,8493,6.06,5,692,211,21,20,1073,fair
2625,10267,8.13,7,660,227,13,39,1278,good
2893,13129,10.35,5,621,272,16,45,1583,good
